id,category,product_name
1,toys,Nerf Blaster
2,toys,Teddy Bear
3,sports,Mizuno Volleyball
4,books,The Catcher in the Rye
5,electronics,GoPro Hero 10
6,toys,Barbie Dreamhouse
7,electronics,iPhone 14
8,toys,Rubik’s Cube
9,sports,Spalding Basketball
10,clothing,Patagonia Vest
11,toys,Crayola Art Set
12,books,Dune
13,clothing,Patagonia Vest
14,clothing,H&M Hoodie
15,toys,Nerf Blaster
16,sports,Titleist Golf Balls
17,toys,Play-Doh Set
18,toys,Transformers Action Figure
19,food,Coca-Cola
20,sports,Everlast Boxing Gloves
21,food,Snickers Bar
22,sports,Franklin Baseball Bat
23,electronics,GoPro Hero 10
24,sports,Adidas Running Shoes
25,books,The Great Gatsby
26,clothing,Under Armour Shorts
27,toys,Crayola Art Set
28,sports,Adidas Running Shoes
29,electronics,MacBook Pro
30,food,Oreo Cookies
31,toys,Crayola Art Set
32,books,Harry Potter
33,food,Pepsi
34,clothing,Adidas T-shirt
35,electronics,Sony WH-1000XM4
36,books,Animal Farm
37,clothing,Under Armour Shorts
38,food,Oreo Cookies
39,food,KitKat
40,food,Sprite
41,clothing,Calvin Klein Underwear
42,clothing,Gap Sweater
43,electronics,MacBook Pro
44,clothing,Calvin Klein Underwear
45,toys,Barbie Dreamhouse
46,food,Red Bull
47,books,Brave New World
48,sports,Rawlings Baseball Glove
49,toys,RC Car
50,toys,Rubik’s Cube
51,electronics,Amazon Echo
52,food,Sprite
53,books,Moby Dick
54,clothing,Gap Sweater
55,electronics,GoPro Hero 10
56,sports,Bauer Hockey Stick
57,food,Snickers Bar
58,sports,Salomon Ski Boots
59,clothing,Uniqlo Shirt
60,food,KitKat
61,sports,Bauer Hockey Stick
62,electronics,Google Nest Hub
63,electronics,Dell XPS 13
64,food,Doritos
65,clothing,Under Armour Shorts
66,electronics,Nintendo Switch
67,books,The Hobbit
68,electronics,Sony WH-1000XM4
69,toys,Jenga
70,books,To Kill a Mockingbird
71,electronics,Google Nest Hub
72,books,The Da Vinci Code
73,sports,Molten Handball
74,food,Heinz Ketchup
75,electronics,Amazon Echo
76,sports,Trek Mountain Bike
77,electronics,iPhone 14
78,electronics,Sony WH-1000XM4
79,food,Pringles Original
80,sports,Salomon Ski Boots
81,sports,Nike Soccer Ball
82,electronics,Nintendo Switch
83,clothing,Zara Dress
84,electronics,MacBook Pro
85,clothing,Calvin Klein Underwear
86,sports,Mizuno Volleyball
87,sports,Speedo Swim Goggles
88,food,Lays Classic Chips
89,clothing,Gap Sweater
90,sports,Franklin Baseball Bat
91,sports,Nike Soccer Ball
92,sports,Bauer Hockey Stick
93,toys,Lego Classic Set
94,sports,Rawlings Baseball Glove
95,toys,Beyblade
96,clothing,Nike Air Max
97,books,The Great Gatsby
98,electronics,Kindle Paperwhite
99,sports,Trek Mountain Bike
100,food,Snickers Bar
101,toys,Furby
102,clothing,North Face Jacket
103,toys,Jenga
104,electronics,Amazon Echo
105,toys,Hot Wheels Track
106,books,1984
107,food,Sprite
108,books,Moby Dick
109,clothing,Gap Sweater
110,clothing,Nike Air Max
111,food,Pringles Original
112,clothing,Gap Sweater
113,clothing,Calvin Klein Underwear
114,clothing,Zara Dress
115,clothing,Nike Air Max
116,food,Nutella
117,food,Snickers Bar
118,electronics,Dell XPS 13
119,clothing,Gap Sweater
120,toys,Lego Classic Set
121,toys,Furby
122,clothing,Gap Sweater
123,sports,Yonex Badminton Racket
124,food,Nutella
125,books,To Kill a Mockingbird
126,sports,Speedo Swim Goggles
127,clothing,Patagonia Vest
128,sports,Bauer Hockey Stick
129,books,Moby Dick
130,food,Doritos
131,books,War and Peace
132,books,Moby Dick
133,electronics,iPhone 14
134,clothing,Gap Sweater
135,food,Coca-Cola
136,books,War and Peace
137,toys,Hot Wheels Track
138,clothing,Tommy Hilfiger Polo
139,sports,Trek Mountain Bike
140,electronics,GoPro Hero 10
141,clothing,Zara Dress
142,electronics,Fitbit Versa 3
143,books,Dune
144,clothing,Nike Air Max
145,sports,Wilson Tennis Racket
146,books,The Hobbit
147,clothing,Calvin Klein Underwear
148,sports,Franklin Baseball Bat
149,clothing,Columbia Fleece
150,toys,Barbie Dreamhouse
151,electronics,Amazon Echo
152,sports,Adidas Running Shoes
153,food,Red Bull
154,electronics,Surface Pro 8
155,electronics,Canon EOS R5
156,sports,Trek Mountain Bike
157,books,1984
158,clothing,Zara Dress
159,toys,Play-Doh Set
160,books,The Lord of the Rings
161,clothing,Levi’s Jeans
162,sports,Speedo Swim Goggles
163,books,Pride and Prejudice
164,books,To Kill a Mockingbird
165,electronics,Dell XPS 13
166,electronics,Apple Watch Series 7
167,food,Heinz Ketchup
168,clothing,Gap Sweater
169,food,Lays Classic Chips
170,food,Lays Classic Chips
171,sports,Spalding Basketball
172,food,Twix
173,toys,Lego Classic Set
174,sports,Salomon Ski Boots
175,toys,Lego Classic Set
176,clothing,Tommy Hilfiger Polo
177,toys,Barbie Dreamhouse
178,sports,Spalding Basketball
179,food,Lays Classic Chips
180,clothing,Under Armour Shorts
181,sports,Salomon Ski Boots
182,clothing,Uniqlo Shirt
183,toys,UNO Cards
184,sports,Wilson Tennis Racket
185,electronics,Apple Watch Series 7
186,electronics,Kindle Paperwhite
187,sports,Speedo Swim Goggles
188,clothing,Columbia Fleece
189,toys,Crayola Art Set
190,food,Nutella
191,sports,Bauer Hockey Stick
192,food,Doritos
193,sports,Trek Mountain Bike
194,sports,Everlast Boxing Gloves
195,electronics,Amazon Echo
196,clothing,Levi’s Jeans
197,electronics,Dell XPS 13
198,books,The Alchemist
199,books,The Great Gatsby
200,toys,RC Car
201,electronics,Samsung Galaxy S22
202,food,Coca-Cola
203,toys,Furby
204,electronics,Surface Pro 8
205,electronics,Sony WH-1000XM4
206,sports,Trek Mountain Bike
207,clothing,Adidas T-shirt
208,clothing,Uniqlo Shirt
209,books,1984
210,clothing,Adidas T-shirt
211,food,Pringles Original
212,books,Harry Potter
213,food,KitKat
214,electronics,Amazon Echo
215,sports,Nike Soccer Ball
216,electronics,Canon EOS R5
217,sports,Trek Mountain Bike
218,toys,Teddy Bear
219,sports,Wilson Tennis Racket
220,toys,Crayola Art Set
221,sports,Spalding Basketball
222,books,To Kill a Mockingbird
223,food,Red Bull
224,food,Heinz Ketchup
225,toys,Play-Doh Set
226,books,1984
227,books,To Kill a Mockingbird
228,clothing,Patagonia Vest
229,toys,Nerf Blaster
230,books,The Catcher in the Rye
231,clothing,Adidas T-shirt
232,sports,Yonex Badminton Racket
233,books,Brave New World
234,electronics,Nintendo Switch
235,sports,Yonex Badminton Racket
236,books,1984
237,books,1984
238,books,The Catcher in the Rye
239,clothing,Levi’s Jeans
240,electronics,MacBook Pro
241,electronics,MacBook Pro
242,clothing,Under Armour Shorts
243,books,Pride and Prejudice
244,sports,Salomon Ski Boots
245,food,Oreo Cookies
246,food,Pringles Original
247,food,Doritos
248,sports,Titleist Golf Balls
249,clothing,Calvin Klein Underwear
250,sports,Rawlings Baseball Glove
251,electronics,Apple Watch Series 7
252,books,The Hobbit
253,sports,Molten Handball
254,clothing,Calvin Klein Underwear
255,food,Twix
256,books,War and Peace
257,food,Snickers Bar
258,sports,Nike Soccer Ball
259,electronics,Nintendo Switch
260,electronics,Dell XPS 13
261,toys,Monopoly Board Game
262,books,The Alchemist
